fecha,zona,vel_km_h,vel_m_s,vel_mph,vel_nudos,racha_max_km_h,racha_max_m_s,racha_max_mph,racha_max_nudos,hora_racha,fecha_actualizacion
2015-01-27,leon,15.12,4.2,33.8225,29.391,36,10,80.5297,69.9785,12:40:00,"2022-01-21 17:44:31"
2015-01-27,zaragoza,18,5,40.2649,34.9892,51.12,14.2,114.352,99.3694,13:00:00,"2022-01-21 17:44:31"
2015-01-28,acoruna,5.04,1.4,11.2742,9.79698,29.88,8.3,66.8397,58.0821,01:00:00,"2022-01-21 17:41:30"
2015-01-28,albacete,15.12,4.2,33.8225,29.391,43.92,12.2,98.2462,85.3737,01:10:00,"2022-01-21 17:41:30"
2015-01-28,almeria,7.92,2.2,17.7165,15.3953,38.16,10.6,85.3615,74.1772,05:20:00,"2022-01-21 17:44:31"
2015-01-28,leon,29.88,8.3,66.8397,58.0821,66.96,18.6,149.785,130.16,21:10:00,"2022-01-21 17:44:31"
2015-01-28,zaragoza,12.96,3.6,28.9907,25.1922,38.88,10.8,86.9721,75.5767,16:20:00,"2022-01-21 17:44:31"
2015-01-29,acoruna,9,2.5,20.1324,17.4946,42.84,11.9,95.8304,83.2744,09:20:00,"2022-01-21 17:41:30"
2015-01-29,albacete,11.88,3.3,26.5748,23.0929,78.12,21.7,174.749,151.853,23:50:00,"2022-01-21 17:41:30"
2015-01-29,almeria,12.96,3.6,28.9907,25.1922,46.08,12.8,103.078,89.5724,17:00:00,"2022-01-21 17:44:31"
2015-01-29,leon,32.04,8.9,71.6714,62.2808,100.08,27.8,223.873,194.54,07:53:00,"2022-01-21 17:44:31"
2015-01-29,zaragoza,20.88,5.8,46.7072,40.5875,79.92,22.2,178.776,155.352,21:20:00,"2022-01-21 17:44:31"
2015-01-30,acoruna,9,2.5,20.1324,17.4946,50.04,13.9,111.936,97.2701,22:00:00,"2022-01-21 17:41:30"
2015-01-30,albacete,34.92,9.7,78.1138,67.8791,81,22.5,181.192,157.452,02:40:00,"2022-01-21 17:41:30"
2015-01-30,almeria,20.88,5.8,46.7072,40.5875,64.08,17.8,143.343,124.562,22:00:00,"2022-01-21 17:44:31"
2015-01-30,zaragoza,33.12,9.2,74.0873,64.3802,84.96,23.6,190.05,165.149,15:40:00,"2022-01-21 17:44:31"
2015-01-31,acoruna,2.88,0.8,6.44238,5.59828,42.84,11.9,95.8304,83.2744,00:50:00,"2022-01-21 17:41:30"
2015-01-31,albacete,20.88,5.8,46.7072,40.5875,78.84,21.9,176.36,153.253,10:20:00,"2022-01-21 17:41:30"
2015-01-31,almeria,15.84,4.4,35.4331,30.7905,75.96,21.1,169.918,147.655,04:10:00,"2022-01-21 17:44:31"
2015-01-31,leon,0,0,0,0,104.04,28.9,232.731,202.238,08:11:00,"2022-01-21 17:44:31"
2015-01-31,zaragoza,24.12,6.7,53.9549,46.8856,74.16,20.6,165.891,144.156,01:00:00,"2022-01-21 17:44:31"
2015-02-01,acoruna,16.92,4.7,37.849,32.8899,30.96,8.6,69.2555,60.1815,04:50:00,"2022-01-21 17:41:30"
2015-02-01,albacete,7.92,2.2,17.7165,15.3953,20.88,5.8,46.7072,40.5875,NULL,"2022-01-21 17:41:30"
2015-02-01,almeria,6.84,1.9,15.3006,13.2959,25.92,7.2,57.9814,50.3845,14:10:00,"2022-01-21 17:44:31"
2015-02-01,leon,2.16,0.6,4.83178,4.19871,15.12,4.2,33.8225,29.391,11:00:00,"2022-01-21 17:44:31"
2015-02-01,zaragoza,2.88,0.8,6.44238,5.59828,11.88,3.3,26.5748,23.0929,13:40:00,"2022-01-21 17:44:31"
2015-02-02,acoruna,5.04,1.4,11.2742,9.79698,39.96,11.1,89.388,77.6761,05:50:00,"2022-01-21 17:41:30"
2015-02-02,albacete,11.88,3.3,26.5748,23.0929,37.08,10.3,82.9456,72.0778,NULL,"2022-01-21 17:41:30"
2015-02-02,almeria,11.16,3.1,24.9642,21.6933,29.88,8.3,66.8397,58.0821,12:30:00,"2022-01-21 17:44:31"
2015-02-02,leon,18,5,40.2649,34.9892,105.12,29.2,235.147,204.337,23:59:00,"2022-01-21 17:44:31"
2015-02-02,zaragoza,15.12,4.2,33.8225,29.391,48.96,13.6,109.52,95.1707,15:10:00,"2022-01-21 17:44:31"
2015-02-03,acoruna,2.88,0.8,6.44238,5.59828,38.16,10.6,85.3615,74.1772,04:10:00,"2022-01-21 17:41:30"
2015-02-03,albacete,15.12,4.2,33.8225,29.391,38.88,10.8,86.9721,75.5767,18:00:00,"2022-01-21 17:44:31"
2015-02-03,almeria,6.12,1.7,13.6901,11.8963,29.16,8.1,65.2291,56.6826,15:20:00,"2022-01-21 17:44:31"
2015-02-03,zaragoza,11.88,3.3,26.5748,23.0929,52.92,14.7,118.379,102.868,14:20:00,"2022-01-21 17:44:31"
2015-02-04,acoruna,10.08,2.8,22.5483,19.594,32.04,8.9,71.6714,62.2808,18:30:00,"2022-01-21 17:41:30"
2015-02-04,albacete,2.88,0.8,6.44238,5.59828,20.16,5.6,45.0966,39.1879,11:20:00,"2022-01-21 17:44:31"
2015-02-04,almeria,7.92,2.2,17.7165,15.3953,32.04,8.9,71.6714,62.2808,14:40:00,"2022-01-21 17:44:31"
2015-02-04,leon,9,2.5,20.1324,17.4946,18,5,40.2649,34.9892,18:10:00,"2022-01-21 17:44:31"
2015-02-04,zaragoza,6.84,1.9,15.3006,13.2959,37.08,10.3,82.9456,72.0778,17:00:00,"2022-01-21 17:44:31"
2015-02-05,acoruna,14.04,3.9,31.4066,27.2916,57.96,16.1,129.653,112.665,12:20:00,"2022-01-21 17:41:30"
2015-02-05,albacete,9,2.5,20.1324,17.4946,28.08,7.8,62.8132,54.5832,13:20:00,"2022-01-21 17:44:31"
2015-02-05,almeria,6.12,1.7,13.6901,11.8963,38.88,10.8,86.9721,75.5767,11:20:00,"2022-01-21 17:44:31"
2015-02-05,leon,15.84,4.4,35.4331,30.7905,45,12.5,100.662,87.4731,13:50:00,"2022-01-21 17:44:31"
2015-02-05,zaragoza,6.84,1.9,15.3006,13.2959,42.84,11.9,95.8304,83.2744,16:20:00,"2022-01-21 17:44:31"
